ID_CUENTA|ID_CLIENTE|SALDO|TIPO_CUENTA
100001|1|4016.08|Corriente
100002|2|1082.87|Ahorros
100003|2|8320.76|Ahorros
100004|2|2467.75|Ahorros
100005|3|3344.91|Ahorros
100006|3|5194.32|Ahorros
100007|4|5789.52|Ahorros
100008|4|7205.65|Ahorros
100009|4|7109.15|Ahorros
100010|5|1670.22|Ahorros
100011|5|3467.34|Ahorros
100012|6|7429.68|Corriente
100013|6|7010.63|Corriente
100014|6|3554.32|Corriente
100015|7|2685.14|Ahorros
100016|7|3039.28|Ahorros
100017|8|7992.85|Ahorros
100018|9|6899.17|Corriente
100019|9|8737.63|Ahorros
100020|10|4910.59|Corriente
100021|10|7831.25|Ahorros
100022|10|1724.60|Ahorros
100023|11|8078.49|Corriente
100024|11|4598.61|Corriente
100025|12|6202.60|Ahorros
100026|12|6135.97|Ahorros
100027|12|9165.26|Ahorros
100028|13|1553.57|Corriente
100029|13|7828.37|Corriente
100030|13|3940.66|Ahorros
100031|14|3221.92|Corriente
100032|15|1916.65|Corriente
100033|15|2521.40|Ahorros
100034|15|7455.86|Corriente
100035|16|5943.34|Corriente
100036|16|94.14|Ahorros
100037|16|455.70|Ahorros
100038|17|3270.64|Corriente
100039|17|1676.43|Ahorros
100040|17|1284.00|Corriente
100041|18|4561.67|Corriente
100042|18|4461.25|Corriente
100043|18|1296.89|Ahorros
100044|19|7712.14|Ahorros
100045|19|4672.95|Ahorros
100046|19|8442.09|Corriente
100047|20|3818.40|Corriente
100048|20|1052.23|Ahorros
100049|21|6167.78|Ahorros
100050|21|7020.32|Ahorros
100051|22|1764.82|Corriente
100052|22|4256.35|Ahorros
100053|23|2094.89|Ahorros
100054|24|1849.34|Ahorros
100055|24|7326.30|Corriente
100056|25|4539.25|Ahorros
100057|26|9848.80|Corriente
100058|26|4701.15|Corriente
100059|26|5955.86|Ahorros
100060|27|2067.30|Ahorros
100061|27|9371.81|Ahorros
100062|27|9830.28|Ahorros
100063|28|4497.23|Corriente
100064|28|7618.31|Corriente
100065|29|9619.04|Corriente
100066|29|384.02|Ahorros
100067|30|9573.75|Corriente
100068|30|2989.00|Corriente
100069|31|2431.69|Corriente
100070|32|7898.32|Ahorros
100071|33|3462.19|Corriente
100072|33|2173.98|Ahorros
100073|33|9091.95|Ahorros
100074|34|9420.35|Ahorros
100075|34|4350.97|Ahorros
100076|34|1318.06|Corriente
100077|35|237.82|Ahorros
100078|35|1332.62|Ahorros
100079|36|4115.95|Ahorros
100080|37|1991.95|Corriente
100081|38|2369.34|Ahorros
100082|38|1819.49|Corriente
100083|38|663.88|Ahorros
100084|39|7193.56|Ahorros
100085|40|4207.85|Ahorros
100086|40|1139.29|Ahorros
100087|40|7312.77|Corriente
100088|41|5939.64|Ahorros
100089|41|9543.15|Corriente
100090|41|4809.26|Corriente
100091|42|3981.82|Ahorros
100092|43|9040.87|Ahorros
100093|43|7728.12|Corriente
100094|43|6575.56|Corriente
100095|44|2985.56|Corriente
100096|44|4998.48|Corriente
100097|45|6093.41|Ahorros
100098|45|7536.67|Ahorros
100099|46|2239.79|Corriente
100100|46|4461.09|Ahorros
100101|46|1045.60|Ahorros
100102|47|2826.23|Ahorros
100103|47|3916.90|Ahorros
100104|47|9321.10|Ahorros
100105|48|1056.54|Ahorros
100106|48|7639.01|Corriente
100107|49|8962.11|Corriente
100108|49|7121.34|Ahorros
100109|50|7356.06|Corriente
100110|50|8700.43|Ahorros
100111|51|6186.46|Ahorros
100112|51|6596.28|Corriente
100113|51|9042.30|Corriente
100114|52|2847.84|Ahorros
100115|52|7390.73|Corriente
100116|53|2239.38|Ahorros
100117|53|5686.39|Ahorros
100118|53|2804.77|Ahorros
100119|54|751.37|Ahorros
100120|55|7036.88|Corriente
100121|56|3071.98|Corriente
100122|56|8655.79|Ahorros
100123|57|7843.18|Corriente
100124|58|156.33|Corriente
100125|59|9217.72|Corriente
100126|60|1777.35|Corriente
100127|61|3766.68|Ahorros
100128|61|1157.17|Corriente
100129|61|4734.50|Corriente
100130|62|4555.37|Corriente
100131|62|8595.05|Corriente
100132|63|1810.50|Corriente
100133|63|4527.12|Corriente
100134|63|1285.58|Corriente
100135|64|9252.10|Corriente
100136|65|5034.80|Ahorros
100137|66|2464.51|Corriente
100138|67|9872.04|Corriente
100139|68|2074.13|Corriente
100140|69|7148.72|Ahorros
100141|69|4166.99|Corriente
100142|70|3109.00|Ahorros
100143|70|3399.31|Ahorros
100144|70|3603.12|Ahorros
100145|71|7719.65|Corriente
100146|71|6108.64|Ahorros
100147|72|2828.02|Corriente
100148|73|2504.72|Corriente
100149|73|2085.31|Ahorros
100150|73|3667.35|Ahorros
100151|74|6001.11|Corriente
100152|74|3150.98|Ahorros
100153|74|5380.61|Ahorros
100154|75|3246.75|Corriente
100155|76|2508.65|Corriente
100156|76|3292.27|Corriente
100157|77|1648.05|Ahorros
100158|77|5265.09|Corriente
100159|78|5238.70|Ahorros
100160|78|5979.38|Ahorros
